SYSTEM,CET,BENCH0,BENCH1,BENCH2,BENCH3,BENCH4,BENCH5
SPR,0,1411182,62935,6293234,851253,997553,5561651
TGL,0,1434290,87093,4959920,729314,923552,5195173
SPR,0,1421875,66650,5997088,774459,1010044,5494594
TGL,0,1429988,79223,5070556,772948,950936,5312407
SPR,0,1429423,66787,5791359,775152,1065492,5520439
TGL,0,1378711,64569,4645046,748954,904099,5207488
SPR,0,1440523,66063,5829060,785157,1011138,5639014
TGL,0,1393191,73397,5046401,733407,938473,5418923
SPR,0,1424426,67346,5745316,820411,1108433,5594165
TGL,0,1459870,65383,5053870,736398,999511,5253757
SPR,0,1443525,66346,6268524,784955,1010361,5560521
TGL,0,1386289,92513,4634026,783304,919856,5190241
SPR,0,1448937,66403,6345511,782190,1081590,5520398
TGL,0,1380886,87592,5073874,738156,912819,5178618
SPR,0,1440672,66203,6347957,852953,1064266,5547044
TGL,0,1440566,66033,5435021,736814,895015,5169464
SPR,0,1452813,66983,5883508,786452,1114241,5559235
TGL,0,1450441,70449,5000792,749492,960659,5283734
SPR,0,1438495,65935,6292121,778774,1070683,5568544
TGL,0,1414450,97468,5050468,733790,1004132,5266565
SPR,0,1427840,66590,5868250,807705,1082577,5537130
TGL,0,1394388,90119,4996196,722995,968069,5292472
SPR,0,1442068,72743,6426537,782489,1084383,5561514
TGL,0,1387095,72741,5435508,717134,991459,5302219
SPR,0,1434044,66038,5840988,787220,1000316,5561107
TGL,0,1385951,72149,5057397,711274,1135784,5346723
SPR,0,1429274,67640,5883996,787150,1036211,5567587
TGL,0,1400121,65838,5082957,768713,933560,5271553
SPR,0,1435020,66545,6309908,779661,1008475,5567840
TGL,0,1422380,94309,5022177,722298,983911,5231374
SPR,0,1434608,67942,6346251,791791,1066070,5581728
TGL,0,1387640,88112,4664210,751395,941269,5278818
SPR,0,1502951,67723,6354638,778551,1087332,5558922
TGL,0,1388708,94095,5054329,758023,944140,5269559
SPR,0,1432235,66621,6251408,786395,1007953,5515253
TGL,0,1380422,96839,5008738,708540,924582,5350524
SPR,0,1425862,66215,6335566,800834,1064825,5495013
TGL,0,1380406,87551,5054850,753964,924268,5207310
SPR,0,1444396,66390,6399532,772365,1010745,5522774
TGL,0,1392950,68805,5033654,796241,909969,5186878
SPR,0,1411083,67779,6388676,861470,1019248,5544340
TGL,0,1395647,108623,5026322,758081,943311,5335607
SPR,0,1433501,66049,6268227,796284,1000545,5582136
TGL,0,1401431,66781,5558213,757616,965221,5237559
SPR,0,1435835,63284,6307496,857103,1008262,5531941
TGL,0,1433931,65793,5031021,772081,925578,5247999
SPR,0,1424339,78393,6428260,773867,1100354,5563843
TGL,0,1402772,88759,5446893,741188,917527,5219976
SPR,0,1435855,66150,5878125,856696,1011231,5604636
TGL,0,1445410,66189,5096021,770700,960359,5326688
SPR,0,1437012,67365,6343432,860715,1017333,5556186
TGL,0,1438401,66443,5469563,734197,943039,5270327
SPR,0,1434598,65654,6400581,863655,1012317,5567714
TGL,0,1408703,123903,4986574,774008,973651,5353947
SPR,0,1424074,66428,6318939,778077,1091539,5564688
TGL,0,1438116,66331,5001784,781506,927331,5145658
SPR,0,1442960,67256,6364390,774142,1130956,5594588
TGL,0,1386441,68010,5029814,714233,930158,5368992
SPR,0,1446112,66366,6381490,775925,1082626,5524253
TGL,0,1391481,64470,4428876,648513,823852,4945369
SPR,0,1436491,66639,5749699,778874,1021952,5567003
TGL,0,1311147,85763,4680667,661838,941821,4925422
SPR,0,1430624,78523,6351734,785914,1086787,5544246
TGL,0,1249353,89518,4810833,734456,825881,4967699
SPR,0,1444518,73264,5897248,779821,1055755,5582395
TGL,0,1316960,90559,4879327,720615,953520,5437406
SPR,0,1432530,65389,6425339,865456,1045478,5587753
TGL,0,1442621,66674,4980440,762057,967483,5296500
SPR,0,1432107,66077,6260986,783457,1035733,5551249
TGL,0,1436957,64738,5027114,712252,944163,5283838
SPR,0,1436866,65894,6403035,785519,1022600,5560277
TGL,0,1392103,67086,4997904,734045,926735,5283153
SPR,0,1441815,66227,6246823,787958,1008028,5651694
TGL,0,1400145,73359,5467953,741345,950876,5225246
SPR,0,1425610,67245,6246771,779437,1065698,5572206
TGL,0,1437429,66276,5388868,746120,990558,5291070
SPR,0,1425115,66343,6399229,817250,1009650,5646296
TGL,0,1417553,84412,5028630,751562,941242,5303579
SPR,0,1448671,65555,5900574,838741,1096451,5466435
TGL,0,1410070,65881,4982886,748577,924264,5220227
SPR,0,1440541,65129,6379773,780210,1004717,5630210
TGL,0,1423339,66916,4623933,737349,952686,5364248
SPR,0,1421277,67033,6351633,859064,998124,5542674
TGL,0,1452575,84779,4643431,744233,958503,5212688
SPR,0,1430617,66790,5765093,791512,1049731,5594629
TGL,0,1399673,69078,4584383,722184,971356,5273240
SPR,0,1433509,66429,6383717,815898,1091742,5591555
TGL,0,1398898,94383,5030907,785566,967399,5327840
SPR,0,1425483,73883,6212074,781510,1040027,5599438
TGL,0,1379959,66647,5050970,760667,962893,5229167
SPR,0,1448781,66634,5848930,779099,1007272,5552222
TGL,0,1405191,96916,5070599,729080,920691,5385597
SPR,0,1444936,83385,6548462,773003,1003973,5673320
TGL,0,1430056,65840,5003134,798960,976381,5186349
SPR,0,1451595,66446,6342592,786156,1022359,5618223
TGL,0,1398231,68049,5421126,726547,951181,5160193
SPR,0,1437284,65368,6400261,845343,1031024,5728455
TGL,0,1392047,99079,5023824,761816,934784,5222380
SPR,0,1434946,68717,5887310,859632,1006434,5623138
TGL,0,1421993,89917,5035756,822182,906611,5242603
SPR,0,1430489,67007,6355786,782157,1087300,5652574
TGL,0,1459438,67267,5076158,757307,982908,5232981
SPR,0,1444305,67185,6429012,772118,1090591,5637062
TGL,0,1370334,65311,5093909,717112,924990,5216149
SPR,0,1420814,66210,6378925,792521,1041478,5710832
TGL,0,1384331,65527,4629003,753176,932553,5267338
SPR,0,1444615,66831,6342785,801478,1012293,5545492
TGL,0,1450878,65936,5404496,732140,981308,5192581
